1101018F000067912120210204C630086001946020210203001S18025 SAC CONG GM PQ 25 CRF         3615005360706000100002400000000000790N00000001896300000002057202102287B01 12 283004A7THUC
1101018F000067912120210204C630086001946020210203002S95692 FILM ETIRABLE ALIMENT 30M PP  3232769000015000100002400000000000520N00000001248300000001354202102287B01 12 283004A7THUC
1101018F000067912120210204C630086001946020210203003H55462 SAC POUB TRADS 100L P15 NONAME3614612817702000100001700000000001940N00000003298300000003578202102287B01 12 283004A7THUC
1101018F000067912120210204C630086001946020210203004K70983 SAC CONG LIEN X50 3L PREMIUM  3615005360690000100002400000000000750N00000001800300000001953202102287B01 12 283004A7THUC
1101018F000067912120210204C630086001946020210203005296259 RLX ALU 20M RENFORCE CRF      3615008895281000100002400000000001430N00000003432300000003724202102287B01 12 283004A7THUC
1101018F000067912220210204C630086001946020210203001J73037 DESO GEL PERLE FLOR 150G CRF  3560071156541000100000600000000001350N00000000810300000000879202102287D01 12 283001A7THUC
1101018F000067912220210204C630086001946020210203002L33792 LING BEBE FRESH ALOE X72 CRF  3560071207656000100001200000000000860N00000001032300000001120202102287D01 12 284007A7THUC
1101018F000067912220210204C630086001946020210203003974395 LESS LIQ 2L4 EXPERT BLEU CRF  3560071241926000100000400000000005020N00000002008300000002179202102287D01 12 281001A7THUC
1101018F000067912220210204C630086001946020210203004980709 LIQ VSL 750ML POMME CRF       3560071241032000100001200000000001070N00000001284300000001393202102287D01 12 282001A7THUC
1101018F000067912220210204C630086001946020210203005K58197 LESS TAB LVX30 TTEN1  CRF     3560071152710000100000700000000002100N00000001470300000001595202102287D01 12 282002A7THUC
1101018F000067912220210204C630086001946020210203006M20221 LIQ VSL 1,5L CRF              3560071241186000100000800000000001850N00000001480300000001606202102287D01 12 282001A7THUC
1101018F000067912220210204C630086001946020210203007N17213 LIQ VSL CITRON 1L PPB         3560071241667000100001200000000001090N00000001308300000001419202102287D01 12 282001A7THUC
1101018F000067912220210204C630086001946020210203008J55555 SUN TT/1 BTE 26 DOSES CITRON  8710447334607000100000600000000006450N00000003870300000004199202102287D01 12 282002A7THUC
1101018F000067912220210204C630086001946020210203009M25768 LIQ VSL CITRON 1L NETTY       5410306883323000100001200000000000970N00000001164300000001263202102287D01 12 282001A7THUC
1101018F000067912220210204C630086001946020210203010J30132 DETACH SPRAY TEXT 500ML CRF   3560071081072000100001000000000001230N00000001230300000001335202102287D01 12 282003A7THUC
