Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
3216080000000    ;510098;MIMOLETTE JEUNE KROON 40% 1K9 ;51;690;4;MN;4;0;2;9.46;;;;13.92;Kg;1;11;;;1;;;;;MIMOLETTE JEUNE KROON 40% 1K9 ;;1;;;;
256606000000    ;560106;CELERI RAVE CAT.2 IMPORT      ;56;640;8;MN;4;0;2;1.91;;;;2.9;Kg;1;10;;;1;;;;;CELERI RAVE CAT.2 IMPORT      ;;0;;;;
5801    ;560112;MANDARINE CARAIBES            ;56;645;2;MN;4;0;2;1.9;;;;4.22;Kg;1;10;;;1;;;;;MANDARINE CARAIBES            ;;0;;;;
3245420000000    ;312586;GANTS LATEX SATINES S         ;31;364;4;MN;90090;0;3;2.16;;;;3.5;Unit‚;1;1;;;0;;;;;GANTS LATEX SATINES S         ;;0;;;;
3023290000000    ;211428;VELOURS CREME CARAMEL 4X70G   ;21;826;3;MN;4;0;2;3.85;;;;5.9;Kg;0.28;8;;;0;;;;;VELOURS CREME CARAMEL 4X70G   ;;1;;;;
3608140000000    ;316151;4 VERRES 28,5 CL LINEA CRF    ;31;375;1;CR;90090;0;3;2.09;;;;3.99;Unit‚;1;1;;;0;;;;;4 VERRES 28,5 CL LINEA CRF    ;;0;;;;
8714790000000    ;131429;DCHE TAHITI MONOI 250ML       ;12;285;2;MN;20365;0;3;2.01;;;;3.1;L;0.25;12;;;0;;;;;DCHE TAHITI MONOI 250ML       ;;0;;;;
3270190000000    ;313511;BROSSE WC BOULE               ;31;364;1;CR;20259;        ;3;1.53;;;;2.59;Unit‚;1;12;;;0;;;;;BROSSE WC BOULE               ;;0;;;;
215531000000    ;250348;BQT POULE  A S/FILM M.COQ     ;25;835;1;MN;3;0;2;10.01;;;;17.63;Kg;1;4;;;1;;;;;BQT POULE  A S/FILM M.COQ     ;;1;;;;
3412290000000    ;221632;LAIT ENTIER  EVEN BTLLE 1L    ;22;790;1;MN;20167;0;2;1.36;;;;2.05;L;1;6;;;0;;;;;LAIT ENTIER  EVEN BTLLE 1L    ;;1;;;;
3031450000000    ;400840;FIL POL BLANC 200M PRIMA      ;40;535;10;MN;20259;0;3;1.42;;;;2.39;Unit‚;1;3;;;0;;;;;FIL POL BLANC 200M PRIMA      ;;0;;;;
3260260000000    ;570512;MADELEINE NATURE COUSSIN 300G ;57;810;3;MN;20744;0;2;2.16;;;;3.1;Kg;0.3;9;;;0;;;;;MADELEINE NATURE COUSSIN 300G ;;0;;;;
8424000000000    ;316792;BOUGIES FLOTANTES SET         ;31;363;1;MN;90090;        ;3;2.07;;;;3.8;Unit‚;1;12;;;0;;;;;BOUGIES FLOTANTES SET         ;;0;;;;
3760140000000    ;570502;BISCUITS SALE 100G            ;57;810;10;MS;1063;0;1;0.85;;;;1.35;Kg;0.1;1;;;0;;;;;BISCUITS SALE 100G            ;;0;;;;
7638900000000    ;302021;TORCHE ENFANTS ENERGIZER+2AAA ;30;396;1;MN;2;0;3;8.816;;;;7.99;Unit‚;1;12;;;0;;;;;TORCHE ENFANTS ENERGIZER+2AAA ;;0;;;;
7638900000000    ;302021;TORCHE ENFANTS ENERGIZER+2AAA ;30;396;1;MN;20374;0;3;5.51;;;;7.99;Unit‚;1;12;;;0;;;;;TORCHE ENFANTS ENERGIZER+2AAA ;;0;;;;
3390510000000    ;311365;BROSSE WC SIMPLE BLC CRF      ;31;364;1;CR;90090;0;3;0.51;;;;1;Unit‚;1;1;;;0;;;;;BROSSE WC SIMPLE BLC CRF      ;;0;;;;
2295290000000    ;260681;TRCHE POITRINE L'ELEVEUR +/-1K;26;624;1;MN;20818;0;2;7.6;;;;10.25;Kg;1;1;;;1;;;;;TRCHE POITRINE L'ELEVEUR +/-1K;;0;;;;
2295290000000    ;260683;ROUELLE JAMBON S/GAZ BQ       ;26;624;1;MN;20818;0;2;10.04;;;;13.49;Kg;1;1;;;1;;;;;ROUELLE JAMBON S/GAZ BQ       ;;0;;;;
3683080000000    ;540689;TOUT CHOCOLAT 6/8P            ;54;730;6;MS;4060;0;2;12.03;;;;15.03;Unit‚;1;1;;;0;;;;;TOUT CHOCOLAT 6/8P            ;;0;;;;
3068320000000    ;132043;BRUMISATEUR EVIAN BB 300ML    ;12;290;7;MN;22003;0;3;3.87;;;;5.6;L;0.3;12;;;0;;;;;BRUMISATEUR EVIAN BB 300ML    ;;1;;;;
